count_iterations,num_kills,total_weight,path_length,run_num,mean_edges_importance,std_edges_importance
0,0,6409.47501111,0.0995045073264,0,2479.29797755,3529.26182368
1,0,6295.94595337,0.100128033713,0,2392.82231653,3553.31584242
2,0,6169.07715601,0.103306996927,0,2298.35437729,3502.97192334
0,0,6424.17501605,0.100698817066,1,2480.05922762,3533.05988872
1,0,6339.25407684,0.100693291177,1,2431.76133351,3583.76312476
2,0,6254.81264067,0.100919828154,1,2375.86219878,3600.19493855
0,0,6391.97498226,0.100714672606,2,2452.44710993,3497.40387588
1,0,6282.40967453,0.102670328318,2,2376.24011975,3528.00557996
2,0,6186.36033124,0.104954871846,2,2306.01238373,3535.59369858
0,0,6397.05001915,0.101368415872,3,2452.19454519,3514.92792189
1,0,6246.7818855,0.103620053411,3,2350.99663101,3473.92085942
2,0,6174.88236639,0.104089920143,3,2302.1362407,3476.33798153
0,0,6383.75001013,0.100572014414,4,2437.32415935,3485.61482039
1,0,6232.2000052,0.103141777669,4,2336.33280851,3491.18421597
2,0,6148.27117482,0.104146210904,4,2278.80849952,3469.41207493
0,0,6368.17502105,0.100990668235,5,2436.68218134,3462.27579662
1,0,6295.3509551,0.101391091343,5,2388.60684758,3492.22206739
2,0,6187.54705015,0.1033264934,5,2306.22058145,3501.89080458
